step,training_time,log_obs,total,location,velocity,angle,Ï‰
1,0.517087465,-432.8998899936676,5.3529215,4.8903112,1.80131,0.55683434,0.48995656
501,221.2771380509998,-215.64848585128783,2.5397327,2.083429,1.2570889,0.32561365,0.4117807
1001,442.2100969810001,12.35839240550995,0.76681024,0.48465332,0.44442827,0.13817593,0.35295233
1501,662.0418465550007,18.73070094585419,0.66782403,0.4273087,0.402802,0.107787475,0.2877996
2001,881.4436327920004,24.756154465675355,0.5897243,0.3754774,0.37339917,0.088745244,0.2339221
2501,1101.2811164290015,27.24389958381653,0.53511363,0.3439081,0.34442216,0.07457404,0.20229924
3001,1321.2863690550034,29.84941554069519,0.48477453,0.3043497,0.31581014,0.06690099,0.18864007
3501,1542.0546661650026,31.07249789237976,0.455769,0.2869908,0.29255298,0.06324987,0.18266487
4001,1763.504899860001,31.630102491378786,0.44922036,0.2850224,0.28511,0.06274371,0.18092164
4501,1983.8517404010038,32.36259958744049,0.43046507,0.27278203,0.2693203,0.061717164,0.17798746
5001,2203.8822486590043,32.348503422737124,0.43240172,0.28005672,0.26359576,0.06138272,0.17619063
5501,2424.7862752360024,33.056424903869626,0.41233522,0.2620433,0.25300732,0.060277104,0.17192708
6001,2647.289187916002,32.86333632469177,0.41260248,0.26599103,0.25005484,0.060540855,0.16962032
6501,2870.2114246790015,32.9789975643158,0.41555113,0.27312487,0.24728699,0.06079168,0.16729683
7001,3090.0532423490026,33.18310127258301,0.4065667,0.26555267,0.24364498,0.05925265,0.16375677
7501,3307.988190280005,33.436782121658325,0.40060407,0.2616095,0.24002028,0.059142105,0.15981789
8001,3525.321867311005,33.669690418243405,0.39045697,0.25286824,0.23609781,0.05848095,0.15731576
8501,3744.5616182919994,33.653841209411624,0.3965563,0.2635035,0.23569095,0.058148034,0.1538501
9001,3963.620552332996,33.47343029975891,0.39517057,0.2630761,0.23524478,0.059055723,0.15150157
9501,4181.940428026994,33.580940628051756,0.39499563,0.2638075,0.23461957,0.059525244,0.14889695
10001,4417.634436919987,33.39097709655762,0.39683208,0.26794976,0.23422961,0.06019922,0.14620043
10501,4659.613549519983,33.64728155136108,0.38626468,0.25799045,0.2309536,0.05820642,0.14346758
11001,4883.3418930969865,33.46268892288208,0.3935384,0.26762572,0.2328469,0.05912905,0.14094181
11501,5103.726601152977,33.41705842018128,0.39280435,0.26833287,0.23108909,0.058966387,0.1382285
12001,5322.6903607189715,33.57112607955933,0.3887557,0.2660479,0.22988775,0.057096563,0.13548222
12501,5543.269379788973,33.626565885543826,0.38101462,0.25773033,0.2293363,0.05664759,0.13352093
13001,5762.757644414973,33.40665106773376,0.3966745,0.27682853,0.23260932,0.058865406,0.13177791
13501,5981.698457705979,33.029869842529294,0.381885,0.2599782,0.22916591,0.058675162,0.13079849
14001,6202.135749131976,33.15003361701965,0.3803803,0.25915745,0.22943977,0.05832971,0.12903664
14501,6422.571127888968,33.52727856636047,0.38714987,0.26758197,0.23184907,0.0582547,0.12687507
15001,6642.631138775962,33.42874402999878,0.39628118,0.27834135,0.23336115,0.05903598,0.12528309
15501,6861.351556602961,32.97601943016052,0.40070242,0.28235132,0.2343672,0.061103135,0.123701975
16001,7079.47762146395,33.25201497077942,0.38823,0.27096766,0.22981179,0.058911823,0.12274601
16501,7296.62057734496,33.23650078773498,0.38512117,0.26799503,0.22891739,0.05833881,0.12145208
17001,7513.558364206959,33.567370080947875,0.37349764,0.25615698,0.22630194,0.05613458,0.12039192
17501,7731.024702509957,33.539327478408815,0.38012433,0.2645532,0.22650635,0.057195373,0.119137146
18001,7948.401424156953,32.60163879394531,0.3889211,0.27521858,0.22957763,0.059111632,0.11805284
18501,8167.14159214094,32.069499015808105,0.38771197,0.27465093,0.2289845,0.05807541,0.11679165
19001,8385.832806158956,32.49463448524475,0.38918588,0.27555868,0.230105,0.058533162,0.115860604
19501,8603.41231611797,32.64086050987244,0.38838586,0.27632016,0.23075715,0.058155984,0.1142308
20001,8821.898492977978,32.82308735847473,0.38732263,0.2733103,0.22971717,0.05968992,0.113955125
20501,9038.977417630971,32.90103688240051,0.3843512,0.27048725,0.23002715,0.0581551,0.11338687
21001,9255.71267057899,32.178387594223025,0.38849398,0.27604508,0.23048086,0.058939286,0.1118227
21501,9472.004925496003,31.634245347976684,0.39131618,0.28007928,0.23040995,0.059890173,0.11189705
22001,9686.906624840012,32.43435010910034,0.39319593,0.28131336,0.23185678,0.059942197,0.11108949
22501,9902.937237539016,32.485112524032594,0.38038674,0.26961458,0.22710419,0.057317663,0.11000049
23001,10119.15578985102,31.471217536926268,0.38508102,0.2743489,0.2291682,0.05804283,0.110244654
